# TOPAS Version: 3.9
# Parameter File: UITF2-10M-back.txt
# Results for scorer: LETd_Depth
# Scored in component: TargetSlab2D
# R in 1 bin  of 1.42 cm
# Phi in 1 bin  of 360 deg
# Z in 65 bins of 0.1 cm
# EnergyDeposit ( MeV ) : Sum   
0, 0, 0, 96857.3828125
0, 0, 1, 98915.1953125
0, 0, 2, 99595.1015625
0, 0, 3, 99926.8359375
0, 0, 4, 100242.7421875
0, 0, 5, 100392.59375
0, 0, 6, 100460.0625
0, 0, 7, 100559.2578125
0, 0, 8, 100594.2109375
0, 0, 9, 100615.09375
0, 0, 10, 100634.3828125
0, 0, 11, 100657.734375
0, 0, 12, 100651.015625
0, 0, 13, 100626.7109375
0, 0, 14, 100580.046875
0, 0, 15, 100556.21875
0, 0, 16, 100493.3359375
0, 0, 17, 100478.2109375
0, 0, 18, 100397.1640625
0, 0, 19, 100366.03125
0, 0, 20, 100293.890625
0, 0, 21, 100248.4296875
0, 0, 22, 100194
0, 0, 23, 100166.3203125
0, 0, 24, 100059.140625
0, 0, 25, 100009.6171875
0, 0, 26, 99955.046875
0, 0, 27, 99857.3828125
0, 0, 28, 99789.8046875
0, 0, 29, 99733.5
0, 0, 30, 99649.96875
0, 0, 31, 99559.0390625
0, 0, 32, 99475.828125
0, 0, 33, 99417.4140625
0, 0, 34, 99327.2890625
0, 0, 35, 99288.6328125
0, 0, 36, 99177.7265625
0, 0, 37, 99098.5234375
0, 0, 38, 98964.4140625
0, 0, 39, 98919.53125
0, 0, 40, 98822.7890625
0, 0, 41, 98762.7421875
0, 0, 42, 98629.6484375
0, 0, 43, 98535.953125
0, 0, 44, 98457.4375
0, 0, 45, 98334.8359375
0, 0, 46, 98234.0078125
0, 0, 47, 98157.875
0, 0, 48, 98077.5546875
0, 0, 49, 97970.890625
0, 0, 50, 97869.0703125
0, 0, 51, 97783.5546875
0, 0, 52, 97660.5859375
0, 0, 53, 97593.6796875
0, 0, 54, 97470.34375
0, 0, 55, 97361.1640625
0, 0, 56, 97272.03125
0, 0, 57, 97188.375
0, 0, 58, 97057.3984375
0, 0, 59, 96956.4765625
0, 0, 60, 96848.640625
0, 0, 61, 96727.8828125
0, 0, 62, 96619.625
0, 0, 63, 96441.5859375
0, 0, 64, 95985.40625
