Mode,Current_uA,ProposalFluencePerSide_e_cm2,DeliveredFluencePerSide_e_cm2,DeliveredFluenceFrontBackTotal_e_cm2,FrontMeanCumulativeDose_Gy,BackMeanCumulativeDose_Gy,CombinedMeanCumulativeDose_Gy,FrontHeatLoad_W,BackHeatLoad_W
Cold,1,5e+15,4.96987451536502e+15,9.93974903073004e+15,1316698.8228225,1316698.8228225,2633397.64564499,0.064376025,0.064376025
Warm,10,1e+17,9.97474814703542e+16,1.99494962940708e+17,26426701.7256628,26426701.7256628,52853403.4513255,0.64376025,0.64376025
